id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,image_path,cluster
50995,Women,Apparel,Innerwear,Bra,Pink,Summer,2017.0,Casual,Enamor Trendies Pink Striped Full-Coverage Bra EB37,data/images\50995.jpg,12
56278,Women,Apparel,Innerwear,Bra,Skin,Summer,2017.0,Casual,Biara Skin Coloured Everyday Support Bra MW 1002,data/images\56278.jpg,12
30510,Women,Apparel,Innerwear,Bra,White,Summer,2014.0,Casual,Lovable Women Spice White Bra,data/images\30510.jpg,12
56284,Women,Apparel,Innerwear,Bra,White,Summer,2017.0,Casual,Biara White Everyday Support Bra,data/images\56284.jpg,12
56277,Women,Apparel,Innerwear,Bra,Maroon,Summer,2017.0,Casual,Biara Maroon Everyday Support Bra MW 1002,data/images\56277.jpg,12
53475,Women,Apparel,Innerwear,Bra,Pink,Summer,2017.0,Casual,Amante Pink Full-Coverage Bra BCSB01,data/images\53475.jpg,12
30468,Women,Apparel,Innerwear,Bra,Black,Summer,2014.0,Casual,Lovable Women All Day Long Black Bra,data/images\30468.jpg,12
27456,Women,Apparel,Innerwear,Bra,White,Winter,2015.0,Casual,Jockey Women White Full-Coverage Bra 1616,data/images\27456.jpg,15
59692,Women,Apparel,Innerwear,Bra,Black,Summer,2014.0,Casual,Avirate Black Bra,data/images\59692.jpg,12
30498,Women,Apparel,Innerwear,Bra,Brown,Summer,2012.0,Casual,Lovable Women Fiona Brown Bra,data/images\30498.jpg,15
21663,Women,Apparel,Innerwear,Bra,White,Summer,2014.0,Casual,Enamor Women White Smooth Bra,data/images\21663.jpg,15
30515,Women,Apparel,Innerwear,Bra,Blue,Summer,2017.0,Casual,Lovable Women Spice Blue Bra,data/images\30515.jpg,15
54318,Women,Apparel,Innerwear,Bra,Red,Summer,2017.0,Casual,Garfield Women Pink & Red Bra,data/images\54318.jpg,12
50966,Women,Apparel,Innerwear,Bra,Navy Blue,Summer,2017.0,Casual,Enamor Navy Blue Smooth Bra,data/images\50966.jpg,12
53508,Women,Apparel,Innerwear,Bra,White,Winter,2015.0,Casual,Amante White Full-Coverage Bra BFOM12,data/images\53508.jpg,12
51021,Women,Apparel,Innerwear,Bra,Maroon,Summer,2017.0,Casual,Enamor Wine Coloured Smooth Bra,data/images\51021.jpg,12
57361,Women,Apparel,Innerwear,Bra,Pink,Winter,2015.0,Casual,Amante Pink Printed Full-Coverage Bra BGTC01,data/images\57361.jpg,12
30529,Women,Apparel,Innerwear,Bra,Skin,Spring,2013.0,Casual,Lovable Cotton Essensuals Skin Coloured Bra,data/images\30529.jpg,12
51011,Women,Apparel,Innerwear,Bra,Lavender,Summer,2017.0,Casual,Enamor Lavender Reveal Bra,data/images\51011.jpg,12
