id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,image_path,cluster
28536,Men,Apparel,Topwear,Tshirts,Red,Summer,2012.0,Sports,Nike Men Relay Red T-shirt,data/demo_images/28536.jpg,0
2295,Women,Apparel,Topwear,Tshirts,Pink,Fall,2010.0,Sports,Nike Women Cruiser Pink T-shirt,data/demo_images/2295.jpg,0
40993,Girls,Apparel,Topwear,Tops,Pink,Summer,2012.0,Casual,Gini and Jony Girls Pink Striped Top,data/demo_images/40993.jpg,0
7513,Men,Apparel,Topwear,Tshirts,Red,Summer,2011.0,Sports,Nike Men's As Explosive Red T-shirt,data/demo_images/7513.jpg,0
12842,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011.0,Casual,Ant Kids Warrior Kids Navy Blue Tshirts,data/demo_images/12842.jpg,0
28567,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,Nike Men Who Else Grey T-shirt,data/demo_images/28567.jpg,0
31092,Boys,Apparel,Topwear,Shirts,Maroon,Summer,2012.0,Casual,Gini and Jony Boys Maroon Shirt,data/demo_images/31092.jpg,0
10019,Women,Apparel,Topwear,Tshirts,White,Fall,2011.0,Sports,Nike Women As Miler Ss White T-Shirts,data/demo_images/10019.jpg,0
1645,Men,Apparel,Topwear,Tshirts,Black,Fall,2010.0,Sports,Kipsta Men Loose Fit Round Neck Jersey Black,data/demo_images/1645.jpg,0
22614,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011.0,Sports,Nike Men Navy Blue T-shirt,data/demo_images/22614.jpg,0
7555,Men,Apparel,Topwear,Tshirts,Yellow,Summer,2011.0,Sports,Nike Men's Arsenal Core Yellow T-shirt,data/demo_images/7555.jpg,0
10721,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Sports,Nike Men Runng Mens tshirt White Tshirts,data/demo_images/10721.jpg,0
12292,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Formal,Genesis Men Check Blue Shirts,data/demo_images/12292.jpg,1
16002,Men,Apparel,Topwear,Sweaters,Grey,Fall,2011.0,Casual,Turtle Solid Men Grey Sweaters,data/demo_images/16002.jpg,1
9460,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Formal,John Miller Men Stripes White Blend White Shirts,data/demo_images/9460.jpg,1
2131,Men,Apparel,Topwear,Shirts,Blue,Summer,2011.0,Casual,Basics Men Blue Slim Fit Checked Shirt,data/demo_images/2131.jpg,1
19161,Men,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,United Colors of Benetton Men Solid White Tshirt,data/demo_images/19161.jpg,1
13120,Men,Apparel,Topwear,Jackets,Navy Blue,Fall,2011.0,Sports,ADIDAS Men Ess 3s Rainjkt Navy Blue Jackets,data/demo_images/13120.jpg,1
14316,Men,Apparel,Topwear,Sweatshirts,Navy Blue,Fall,2011.0,Casual,ADIDAS Men Solid Navy Blue Sweatshirts,data/demo_images/14316.jpg,1
1668,Men,Apparel,Topwear,Tshirts,Red,Fall,2010.0,Casual,Reebok Men Playdry Full Sleeved T-shirt Red,data/demo_images/1668.jpg,1
22323,Men,Apparel,Topwear,Jackets,Red,Summer,2015.0,Casual,Wildcraft Men Solid Red Wind Cheater,data/demo_images/22323.jpg,1
22202,Men,Apparel,Topwear,Jackets,Blue,Fall,2011.0,Casual,Timberland Men Bonded Fleece Full Zip Blue Jacket,data/demo_images/22202.jpg,1
11778,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Casual,Lee Men Solid Grey Tshirts,data/demo_images/11778.jpg,1
19957,Men,Apparel,Topwear,Sweaters,Grey,Fall,2011.0,Casual,United Colors of Benetton Men Grey Sweater,data/demo_images/19957.jpg,1
20187,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Wrangler Men Solid Chambray Blue Shirt,data/demo_images/20187.jpg,2
58740,Men,Apparel,Topwear,Tshirts,Pink,Fall,2012.0,Casual,Puma Men Pink T-shirt,data/demo_images/58740.jpg,2
13500,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Casual,Chimp Men VVVIP Grey T-shirts,data/demo_images/13500.jpg,2
19956,Men,Apparel,Topwear,Sweaters,Green,Spring,2013.0,Casual,United Colors of Benetton Men Green Sweater,data/demo_images/19956.jpg,2
17933,Men,Apparel,Topwear,Tshirts,Red,Fall,2011.0,Casual,Puma Men Ferrari Logo Tee II Red Tshirt,data/demo_images/17933.jpg,2
2607,Men,Apparel,Topwear,Tshirts,Black,Fall,2010.0,Sports,ADIDAS Men's Black Stripe T-shirt,data/demo_images/2607.jpg,2
19398,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Sports,ADIDAS Men Solid Blue Jersey,data/demo_images/19398.jpg,2
